ID,Name,Price,Stock,Category
101,Embroidered Lawn Shirt,2999,20,Women
102,Printed Cotton Kurta,1999,35,Women
103,Men's Casual Shirt,2499,15,Men
104,Denim Jeans,3499,25,Men
105,Stitched 3-Piece Suit,5999,10,Women
106,Digital Printed Dupatta,1499,50,Women
107,Formal Waistcoat,3999,8,Men
108,Kids Printed T-shirt,1299,40,Kids
109,Women's Leather Handbag,4999,12,Accessories
110,Men's Sports Sneakers,5999,18,Footwear
111,Casual Hoodie,3499,22,Men
112,Embroidered Chiffon Dress,7999,14,Women
113,Men's Leather Wallet,2999,30,Accessories
114,Girls Fancy Frock,2599,25,Kids
115,Boys Denim Jacket,3999,19,Kids
116,Women's Silk Scarf,1999,35,Accessories
117,Men's Polo T-Shirt,2799,28,Men
118,Stitched Lawn 2-Piece,4599,12,Women
119,Ladies Fancy Sandals,3999,20,Footwear
120,Cotton Printed Bedsheet,2999,15,Home & Living
